Time : 2022-03-15 17:01:51, Label : 0, Word : NONE, Percentage = 99.97%, RunTime : 0.0955sec
Time : 2022-03-15 17:09:18, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.1151sec
Time : 2022-03-15 17:09:25, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1228sec
Time : 2022-03-15 17:09:33, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.0954sec
Time : 2022-03-15 17:09:39, Label : 9, Word : PICTURE, Percentage = 99.93%, RunTime : 0.1068sec
Time : 2022-03-15 17:09:49, Label : 9, Word : PICTURE, Percentage = 90.91%, RunTime : 0.1768sec
Time : 2022-03-15 17:09:54, Label : 0, Word : NONE, Percentage = 36.90%, RunTime : 0.1062sec
Time : 2022-03-15 17:10:02, Label : 9, Word : PICTURE, Percentage = 93.90%, RunTime : 0.1165sec
Time : 2022-03-15 17:10:11, Label : 8, Word : VOICE_COMMANDS, Percentage = 98.73%, RunTime : 0.1095sec
Time : 2022-03-15 17:10:26, Label : 28, Word : PHONE, Percentage = 99.99%, RunTime : 0.1208sec
Time : 2022-03-15 17:10:31, Label : 0, Word : NONE, Percentage = 52.34%, RunTime : 0.0950sec
Time : 2022-03-15 17:10:38, Label : 27, Word : SHOW_ALL_WINDOWS, Percentage = 100.00%, RunTime : 0.1167sec
Time : 2022-03-15 17:10:45, Label : 31, Word : REJECT, Percentage = 100.00%, RunTime : 0.1052sec
Time : 2022-03-15 17:10:51, Label : 10, Word : RECORD, Percentage = 100.00%, RunTime : 0.1393sec
Time : 2022-03-15 17:11:05, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.0955sec
Time : 2022-03-15 17:11:12, Label : 3, Word : CLOSE, Percentage = 72.40%, RunTime : 0.0991sec
Time : 2022-03-15 17:20:40, Label : 5, Word : END, Percentage = 62.33%, RunTime : 0.1492sec
Time : 2022-03-15 17:21:05, Label : 9, Word : PICTURE, Percentage = 100.00%, RunTime : 0.0934sec
Time : 2022-03-15 17:21:09, Label : 0, Word : NONE, Percentage = 99.41%, RunTime : 0.0804sec
Time : 2022-03-15 17:21:16, Label : 9, Word : PICTURE, Percentage = 100.00%, RunTime : 0.1386sec
